rt_rating,fn,tid,title,wordsInTitle,url,imdbRating,ratingCount,duration,year,type,nrOfWins,nrOfNominations,nrOfPhotos,nrOfNewsArticles,nrOfUserReviews,nrOfGenre,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,FilmNoir,GameShow,History,Horror,Music,Musical,Mystery,News,RealityTV,Romance,SciFi,Short,Sport,TalkShow,Thriller,War,Western,asdf,untitled,Unnamed: 46,Unnamed: 47
96,titles01/tt0105695,tt0105695,Erbarmungslos (1992),erbarmungslos,http://www.imdb.com/title/tt0105695/,8.3,205938,7860,1992,video.movie,40,20,67,568,453,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,
96,titles01/tt0107048,tt0107048,...und täglich grüßt das Murmeltier (1993),und t glich gr t das murmeltier,http://www.imdb.com/title/tt0107048/,8.1,309177,6060,1993,video.movie,6,7,55,1237,542,3,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
94,titles01/tt0107207,tt0107207,Im Namen des Vaters (1993),im namen des vaters,http://www.imdb.com/title/tt0107207/,8.2,74591,7980,1993,video.movie,9,15,25,318,139,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,
97,titles01/tt0108052,tt0108052,Schindlers Liste (1993),schindlers liste,http://www.imdb.com/title/tt0108052/,8.9,599579,11700,1993,video.movie,70,25,52,857,1095,3,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
70,titles01/tt0109830,tt0109830,Forrest Gump (1994),forrest gump,http://www.imdb.com/title/tt0109830/,8.8,799314,8520,1994,video.movie,38,46,56,1908,1133,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,
93,titles01/tt0110357,tt0110357,Der König der Löwen (1994),der k nig der l wen,http://www.imdb.com/title/tt0110357/,8.5,408078,5340,1994,video.movie,25,22,111,2908,542,3,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
73,titles01/tt0110413,tt0110413,Léon - Der Profi (1994),l on der profi,http://www.imdb.com/title/tt0110413/,8.6,501117,6600,1994,video.movie,3,8,58,1194,754,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,
91,titles01/tt0110912,tt0110912,Pulp Fiction (1994),pulp fiction,http://www.imdb.com/title/tt0110912/,9,911042,9240,1994,video.movie,62,46,87,3824,1818,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,
90,titles01/tt0111161,tt0111161,Die Verurteilten (1994),die verurteilten,http://www.imdb.com/title/tt0111161/,9.3,1183395,8520,1994,video.movie,15,15,66,1913,3046,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
100,titles01/tt0111495,tt0111495,Drei Farben - Rot (1994),drei farben rot,http://www.imdb.com/title/tt0111495/,8.1,47730,5940,1994,video.movie,18,15,31,29,116,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,,,,
100,titles01/tt0112471,tt0112471,Before Sunrise - Zwischenstopp in Wien (1995),before sunrise zwischenstopp in wien,http://www.imdb.com/title/tt0112471/,8.1,119333,6300,1995,video.movie,1,2,18,763,351,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,,
77,titles01/tt0112573,tt0112573,Braveheart (1995),braveheart,http://www.imdb.com/title/tt0112573/,8.4,523797,10620,1995,video.movie,19,20,89,975,1008,3,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
80,titles01/tt0112641,tt0112641,Casino (1995),casino,http://www.imdb.com/title/tt0112641/,8.2,236730,10680,1995,video.movie,3,7,69,550,498,3,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
